Historical Marker Id	Name of the Marker	County	Dedicated Year	Dedicated Month	Dedicated Day Date	Marker Type	Location Description	Marker Description	Status	Longitude	Latitude	Category	Category Counter	LAT/LONG Location
1	Reading Railroad Massacre	Berks	1993	10	16	City	7th & Penn Sts., Reading	In 1877, amidst hard times, unrest hit U.S. rail lines. Workers for the Reading Railroad had endured pay cuts. Here, on July 23, militia fired into an unarmed crowd that blocked the trains, and 10 people were killed. U.S. troops reopened the railroad.		-75.9242	40.3351	Labor	1	(40.3351, -75.9242)
1	Reading Railroad Massacre	Berks	1993	10	16	City	7th & Penn Sts., Reading	In 1877, amidst hard times, unrest hit U.S. rail lines. Workers for the Reading Railroad had endured pay cuts. Here, on July 23, militia fired into an unarmed crowd that blocked the trains, and 10 people were killed. U.S. troops reopened the railroad.		-75.9242	40.3351	Railroads	2	(40.3351, -75.9242)
1	Reading Railroad Massacre	Berks	1993	10	16	City	7th & Penn Sts., Reading	In 1877, amidst hard times, unrest hit U.S. rail lines. Workers for the Reading Railroad had endured pay cuts. Here, on July 23, militia fired into an unarmed crowd that blocked the trains, and 10 people were killed. U.S. troops reopened the railroad.		-75.9242	40.3351	Transportation	3	(40.3351, -75.9242)
2	Silver Spring Presbyterian Church	Cumberland	1947			Roadside	444 Silver Spring Rd., at church, S of Carlisle Pk. (US 11), Mechanicsburg	Founded 1734 on land of James Silver by Scotch-Irish Presbyterians, earliest settlers of the Cumberland Valley. Present church built in 1783, restored in 1928 to its original style, and still used for worship.		-77.0076	40.2389	Early Settlement	1	(40.2389, -77.0076)
2	Silver Spring Presbyterian Church	Cumberland	1947			Roadside	444 Silver Spring Rd., at church, S of Carlisle Pk. (US 11), Mechanicsburg	Founded 1734 on land of James Silver by Scotch-Irish Presbyterians, earliest settlers of the Cumberland Valley. Present church built in 1783, restored in 1928 to its original style, and still used for worship.		-77.0076	40.2389	Ethnic & Immigration	2	(40.2389, -77.0076)
2	Silver Spring Presbyterian Church	Cumberland	1947			Roadside	444 Silver Spring Rd., at church, S of Carlisle Pk. (US 11), Mechanicsburg	Founded 1734 on land of James Silver by Scotch-Irish Presbyterians, earliest settlers of the Cumberland Valley. Present church built in 1783, restored in 1928 to its original style, and still used for worship.		-77.0076	40.2389	Religion	3	(40.2389, -77.0076)
3	Lebanon County	Lebanon	1982	10	6	City	County-Municipal Bldg., 400 S. 8th St., Lebanon	Formed on February 16, 1813 from Dauphin and Lancaster counties. Named for old Lebanon Township, originally created 1729. Lebanon, county seat, is dated from 1740. Early settlers began the building of a rich agricultural and religious heritage.		-76.4239	40.3326	Agriculture	1	(40.3326, -76.4239)
3	Lebanon County	Lebanon	1982	10	6	City	County-Municipal Bldg., 400 S. 8th St., Lebanon	Formed on February 16, 1813 from Dauphin and Lancaster counties. Named for old Lebanon Township, originally created 1729. Lebanon, county seat, is dated from 1740. Early settlers began the building of a rich agricultural and religious heritage.		-76.4239	40.3326	Government & Politics	2	(40.3326, -76.4239)
3	Lebanon County	Lebanon	1982	10	6	City	County-Municipal Bldg., 400 S. 8th St., Lebanon	Formed on February 16, 1813 from Dauphin and Lancaster counties. Named for old Lebanon Township, originally created 1729. Lebanon, county seat, is dated from 1740. Early settlers began the building of a rich agricultural and religious heritage.		-76.4239	40.3326	Government & Politics 19th Century	3	(40.3326, -76.4239)
3	Lebanon County	Lebanon	1982	10	6	City	County-Municipal Bldg., 400 S. 8th St., Lebanon	Formed on February 16, 1813 from Dauphin and Lancaster counties. Named for old Lebanon Township, originally created 1729. Lebanon, county seat, is dated from 1740. Early settlers began the building of a rich agricultural and religious heritage.		-76.4239	40.3326	Religion	4	(40.3326, -76.4239)
4	Edwin L. Drake	Northampton	1959	10	21	City	331 Wyandotte St. (PA 378), Bethlehem	Drilled first oil well in America in 1859 at Titusville, Pa. Lived at Bethlehem in this house for last seven years of his life, 1873-1880. In 1902 his remains were moved from Bethlehem to memorial monument erected at Titusville.		-75.3844	40.6108	Business & Industry	1	(40.6108, -75.3844)
4	Edwin L. Drake	Northampton	1959	10	21	City	331 Wyandotte St. (PA 378), Bethlehem	Drilled first oil well in America in 1859 at Titusville, Pa. Lived at Bethlehem in this house for last seven years of his life, 1873-1880. In 1902 his remains were moved from Bethlehem to memorial monument erected at Titusville.		-75.3844	40.6108	Entrepreneurs	2	(40.6108, -75.3844)
4	Edwin L. Drake	Northampton	1959	10	21	City	331 Wyandotte St. (PA 378), Bethlehem	Drilled first oil well in America in 1859 at Titusville, Pa. Lived at Bethlehem in this house for last seven years of his life, 1873-1880. In 1902 his remains were moved from Bethlehem to memorial monument erected at Titusville.		-75.3844	40.6108	Oil & Gas	3	(40.6108, -75.3844)
5	Berean Institute	Philadelphia	1990	10	17	City	1901 W. Girard Ave., Philadelphia	Founded in 1899 by Rev. Matthew Anderson, pastor of Berean Presbyterian Church and founder of Berean Savings Association, this school taught Blacks skilled trades not available elsewhere. Later the curriculum was expanded to meet changing student needs.		-75.1676	39.9726	African American	1	(39.9726, -75.1676)
5	Berean Institute	Philadelphia	1990	10	17	City	1901 W. Girard Ave., Philadelphia	Founded in 1899 by Rev. Matthew Anderson, pastor of Berean Presbyterian Church and founder of Berean Savings Association, this school taught Blacks skilled trades not available elsewhere. Later the curriculum was expanded to meet changing student needs.		-75.1676	39.9726	Education	2	(39.9726, -75.1676)
5	Berean Institute	Philadelphia	1990	10	17	City	1901 W. Girard Ave., Philadelphia	Founded in 1899 by Rev. Matthew Anderson, pastor of Berean Presbyterian Church and founder of Berean Savings Association, this school taught Blacks skilled trades not available elsewhere. Later the curriculum was expanded to meet changing student needs.		-75.1676	39.9726	Religion	3	(39.9726, -75.1676)
